Section,Folder,DD Ref,Topic,Request,Plain English (per Claude),Group Owner,Owner,DD Point of Contact,Intercom Priority,Diamond Priority,Status,LOE,Req. DG Review,GDrive Folder,GDrive Link,Template Required,Company Comments,Diamond Comments,Claude Audit Report,Output Type,Date Requested,Date Provided,Dependency,Owner Notes
3,Main,3.30,Legal - Intellectual Property & Legal AI Integration,"Describe the testing, monitoring, and auditing that the Company performs with respect to its Intelligent Products throughout the products’ lifecycle.
  
 Provide any related process and procedure documentation pertaining to the design, development, release, and maintenance of the Intelligent Product throughout its lifecycle.","Describe the testing, monitoring, and auditing that the Company performs with respect to its Intelligent Products throughout the products’ lifecycle",Engineering : AI Team,Fergal Reid,Brandon K,,P1 — Standard,1. Not Started,,,(Confidential) 3. Integra_Main_Legal - Intellectual Property & Legal AI Integration,,,,,,,Wed Apr 29 2026 17:00:00 GMT-0700 (Pacific Daylight Time),,,
3,Main,3.31,Legal - Intellectual Property & Legal AI Integration,"Describe the mechanisms, if any, the Company has in place to receive feedback about the Intelligent Products.","Describe the mechanisms, if any, the Company has in place to receive feedback about the Intelligent Products",Engineering : AI Team,Fergal Reid,Brandon K,,P1 — Standard,1. Not Started,,,(Confidential) 3. Integra_Main_Legal - Intellectual Property & Legal AI Integration,,,,,,,Wed Apr 29 2026 17:00:00 GMT-0700 (Pacific Daylight Time),,,
3,Main,3.32,Legal - Intellectual Property & Legal AI Integration,"Describe the response mechanisms, if any, that are in place to respond to any trustworthiness issue in connection with any Intelligent Product.","Describe the response mechanisms, if any, that are in place to respond to any trustworthiness issue in connection with any Intelligent Product",Engineering : AI Team,Fergal Reid,Brandon K,,P1 — Standard,1. Not Started,,,(Confidential) 3. Integra_Main_Legal - Intellectual Property & Legal AI Integration,,,,,,,Wed Apr 29 2026 17:00:00 GMT-0700 (Pacific Daylight Time),,,
3,Main,3.33,Legal - Intellectual Property & Legal AI Integration,"How does the Company make its Intelligent Products and the decisions made or facilitated by them transparent?
  
 Describe how the Company assesses what individuals or groups may be impacted by the Intelligent Product.
  
 Provide copies of all related notices, information, end user documentation, training and other relevant materials related to the Intelligent Product.",Provide how does the Company make its Intelligent Products and the decisions made or facilitated by them transparent?,Engineering : AI Team,Fergal Reid,Brandon K,,P1 — Standard,1. Not Started,,,(Confidential) 3. Integra_Main_Legal - Intellectual Property & Legal AI Integration,,,,,,,Wed Apr 29 2026 17:00:00 GMT-0700 (Pacific Daylight Time),,,
3,Main,3.34,Legal - Intellectual Property & Legal AI Integration,Has the Company warranted or committed to defend or indemnify third parties against claims of IP infringement or misappropriation by the outputs of the Company’s Intelligent Products? Have any such claims been made or defended or indemnified by the Company?,Provide has the Company warranted or committed to defend or indemnify third parties against claims of IP infringement or misappropriation by the outputs of th,Legal,Michele Matsubara,Brandon K,,P1 — Standard,1. Not Started,,true,(Confidential) 3. Integra_Main_Legal - Intellectual Property & Legal AI Integration,,,,,,,Wed Apr 29 2026 17:00:00 GMT-0700 (Pacific Daylight Time),,,
3,Main,3.35,Legal - Intellectual Property & Legal AI Integration,"Describe the measures the Company undertakes to protect its intellectual property rights or other interests in and to the Intelligent Products’ (i) prediction / analytical models and (ii) output data.
  
 Provide a list of third parties that have intellectual property rights in either (i) and/or (ii), and describe the nature of such rights.",Describe the measures the Company undertakes to protect its intellectual property rights or other interests in and to the Intelligent Products’ (i)...,Legal,Michele Matsubara,Brandon K,,P1 — Standard,1. Not Started,,,(Confidential) 3. Integra_Main_Legal - Intellectual Property & Legal AI Integration,,,,,,,Wed Apr 29 2026 17:00:00 GMT-0700 (Pacific Daylight Time),,,
3,Main,3.36,Legal - Intellectual Property & Legal AI Integration,What policies and procedures does the Company have in place to regulate the disclosure of confidential information in connection with use of third-party generative AI services by Company personnel? Is the Company aware of any Company personnel submitting trade secrets as prompts to third-party generative AI services?,Provide what policies and procedures does the Company have in place to regulate the disclosure of confidential information in connection with use of third-par,Legal,Michele Matsubara,Brandon K,,P1 — Standard,1. Not Started,,,(Confidential) 3. Integra_Main_Legal - Intellectual Property & Legal AI Integration,,,,,,,Wed Apr 29 2026 17:00:00 GMT-0700 (Pacific Daylight Time),,Engineering : Security Team,
3,Main,3.37,Legal - Intellectual Property & Legal AI Integration,"Does the Company operate and adhere to a data management system that allows the Company to track the source of, and the Company’s rights to, all data used by the Company in connection with any Intelligent Products or other products or services?
  
What policies and procedures are in place to ensure that data is only used in a manner consistent with the Company’s rights to such data?
  
Describe any mechanisms the Company has in place to physically and/or logically segregate: (i) data, (ii) prediction / analytical models, and (iii) Intelligent Products’ output, in cases where items (i), (ii) or (iii) are proprietary to, or such segregation is required by, a third party.","Provide does the Company operate and adhere to a data management system that allows the Company to track the source of, and the Company’s rights to, all data ",Engineering : Security Team,Thibault Candebat,Brandon K,,P1 — Standard,1. Not Started,,,(Confidential) 3. Integra_Main_Legal - Intellectual Property & Legal AI Integration,,,,,,,Wed Apr 29 2026 17:00:00 GMT-0700 (Pacific Daylight Time),,,
3,Main,3.38,Legal - Intellectual Property & Legal AI Integration,"What AI/ML models does the Company use and does the Company use any “open” or “open source” (including under OSI-approved software licenses and other public licenses) AI/ML models and, if so, under what licenses?","List all AI/ML models in products (Apex, third-party LLMs, STT/TTS) with open-source licenses.",Engineering : AI Team,Fergal Reid,Brandon K,,P1 — Standard,1. Not Started,,true,(Confidential) 3. Integra_Main_Legal - Intellectual Property & Legal AI Integration,,,,,,,Wed Apr 29 2026 17:00:00 GMT-0700 (Pacific Daylight Time),,,
4,Main,4.1,"Legal - Regulatory, Litigation, Compliance & Integrity","Provide copies of all current permits, licenses, approvals, determinations and other qualifications issued by any federal, state, foreign or other governmental authority.","Provide all current government permits, licenses, and regulatory approvals Intercom holds.",Legal,Brandon Kim,Brandon K,,P0 — High,1. Not Started,,,"(Confidential) 4. Integra_Main_Legal - Regulatory, Litigation, Compliance & Integrity",,,,,,,Wed Apr 29 2026 17:00:00 GMT-0700 (Pacific Daylight Time),,,
4,Main,4.2,"Legal - Regulatory, Litigation, Compliance & Integrity","Provide copies of any government audits or government investigations, refusals, deficiency notices, reports, correspondence, voluntary or involuntary disclosures and applications with or to governmental authorities, including relating to any alleged violations of governmental regulations or laws, including:
  
 (i) bid protests filed in any forum by the Company or involving an award made to the Company by a federal, state, or local governmental entity or an educational institution;
 (ii) requests for equitable adjustment or claims under the Contract Disputes Act (“CDA”), whether submitted by the Company or a prime contractor on the Company’s behalf, or by a government or prime customer against the Company;
 (iii) performance issues, including, for example, “show cause” letters or “cure” notices, actual or threatened termination (default or convenience), stop work orders, liquidated damages, or CPARs (to the extent not disclosed above); 
 (iv) any claim or allegation related to defective pricing, mischarging, overpayment, or incorrect billing;
 (v) any allegation that the Company has made improper payments, gratuities, bribes, or improper contingency fees;
 (vi) any allegation that the Company has violated the criminal or civil False Claims Act;
 (vii) any mandatory, voluntary, or other disclosures made by the Company to any governmental entity regarding actual or potential violations of law, misconduct, fraud, waste, or abuse;
 (viii) any internal investigations conducted by the Company to determine whether the Company or its personnel made a false statement to the government or otherwise engaged in improper conduct in connection with the performance of a contract;
 (ix) any instance in which the government has threatened or initiated debarment or suspension proceedings against the Company or any company personnel;
 (x) any known real or perceived organizational conflicts of interest (“OCIs”), potential OCI restrictions, or OCI mitigation plans currently in place; and
 (xi) trade-related audits, inquiries, investigations, requests for guidance, disclosures, notifications, or submissions, whether by or to customs, export controls, sanctions, or antiboycott officials or related agencies, in any country or region.","Share records of any government audits, investigations, compliance reports, or voluntary disclosures Intercom has been involved in.",Legal,Stephanie Chin,Brandon K,,P0 — High,2. In Progress,,,"(Confidential) 4. Integra_Main_Legal - Regulatory, Litigation, Compliance & Integrity",,,,,,,Wed Apr 29 2026 17:00:00 GMT-0700 (Pacific Daylight Time),,,
4,Main,4.3,"Legal - Regulatory, Litigation, Compliance & Integrity","Describe any pending or threatened internal, governmental or other third-party (including inspector general, FBI, grand jury, Congress or the GAO) investigations or inquiries, and any remedial or enforcement actions with respect thereto, in the past five years.
  
 (i) Have any allegations of corruption ever been made against the Company or any officer, director, employee, counterparty, or third party, including partners and resellers, if applicable, acting on behalf of Company by any person or entity? If yes, please explain and attach the results.
 (ii) Does the Company have any past or pending criminal convictions, suspensions, debarments, proposed debarments, or other disqualifications related to conducting business with the U.S. government or any other foreign governments? If yes, please explain.
 (iii) Are there any reasons to believe that any of the Company’s contracts have been obtained or retained through improper payments?
 (iv) Are there reasons to believe that any of the Company’s employees or third parties offered, made, gave, authorized the giving of any improper payment to customers or government officials or facilitated such acts?
 (v) Are there reasons to believe that improper payments at the Company are ongoing?","Describe any pending or threatened internal, governmental or other third-party (including inspector general, FBI, grand jury, Congress or the GAO)...",Legal,Stephanie Chin,Brandon K,,P0 — High,2. In Progress,,,"(Confidential) 4. Integra_Main_Legal - Regulatory, Litigation, Compliance & Integrity",,,,,,,Wed Apr 29 2026 17:00:00 GMT-0700 (Pacific Daylight Time),,,
4,Main,4.4,"Legal - Regulatory, Litigation, Compliance & Integrity","Provide summaries of any pending or threatened litigation, proceeding (including arbitration) or claim (including those that pertain to specific subject areas covered elsewhere – e.g., intellectual property, employee matters, government contracts/subcontracts and trade-related matters, and whether as the recipient/defendant or claimant/plaintiff) involving the Company or any of its officers, directors or employees, in the past five years.","Summarize all lawsuits, arbitrations, or legal claims involving Intercom in the past five years.",Legal,Stephanie Chin,Brandon K,Required,P00 — Critical (cross-functional priority),2. In Progress,,true,"(Confidential) 4. Integra_Main_Legal - Regulatory, Litigation, Compliance & Integrity",,,,,,,Wed Apr 29 2026 17:00:00 GMT-0700 (Pacific Daylight Time),,,
4,Main,4.5,"Legal - Regulatory, Litigation, Compliance & Integrity",Provide copies of litigation letters relating to the Company from outside legal counsel to independent auditors in the past five years.,Share copies of litigation letters relating to the Company from outside legal counsel to independent auditors in the past five years,Legal,Anne Pierce,Brandon K,,P1 — Standard,1. Not Started,,true,"(Confidential) 4. Integra_Main_Legal - Regulatory, Litigation, Compliance & Integrity",,,,,,,Wed Apr 29 2026 17:00:00 GMT-0700 (Pacific Daylight Time),,,
4,Main,4.6,"Legal - Regulatory, Litigation, Compliance & Integrity","Describe any closed, pending or threatened internal, governmental or other third-party investigation or inquiries with a summary of any remedial or enforcement actions (including related to IP, privacy and data security practices and employment). Provide copies of any related consent or other decrees, judgments, orders, releases, settlement agreements or other similar agreements. 
  
 Please also confirm:
 (i) Have any allegations of corruption ever been made against the Company or any officer, director, employee, counterparty, or third party, including partners and resellers, if applicable, acting on behalf of Company by any person or entity? If yes, please explain and attach the results.
 (ii) Does the Company have any past or pending criminal convictions, suspensions, debarments, proposed debarments, or other disqualifications related to conducting business with the U.S. government or any other foreign governments? If yes, please explain.
 (iii) Are there any reasons to believe that any of the Company’s contracts have been obtained or retained through improper payments?
 (iv) Are there reasons to believe that any of the Company’s employees or third parties offered, made, gave, authorized the giving of any improper payment to customers or government officials or facilitated such acts?
 (v) Are there reasons to believe that improper payments at the Company are ongoing?","Describe any closed, pending or threatened internal, governmental or other third-party investigation or inquiries with a summary of any remedial or...",Legal,Stephanie Chin,Brandon K,,P0 — High,2. In Progress,,,"(Confidential) 4. Integra_Main_Legal - Regulatory, Litigation, Compliance & Integrity",,,,,,,Wed Apr 29 2026 17:00:00 GMT-0700 (Pacific Daylight Time),,,
4,Main,4.7,"Legal - Regulatory, Litigation, Compliance & Integrity","Provide a copy of:
 (i) the Company’s code of conduct and other ethics and compliance policies and all compliance programs and controls (e.g., conflict of interest, whistleblower reporting, gifts & entertainment).
 (ii) any anti-corruption compliance policy, manual, or training materials used by the Company.
 (iii) any antitrust / competition law compliance policy, manual, or training materials used by the Company.
 (iv) to the extent the Company has government contracts, please include any Code of Conduct, employee handbook or policies, procedures, trainings, or processes, whether formal or informal, specific to the Company’s government contracts business, including for:
 (a) labor mapping, or ensuring that all assigned employees meet the qualifications stated in a contract’s labor category descriptions
 (b) change management, or identifying, tracking, and resolving any changes, including constructive changes, made to the Company’s contracts
 (c) cost accounting, billing, and invoicing
 (d) timekeeping
 (e) recordkeeping, including tracking of compliance obligations
 (f) tracking the development of intellectual property
 (g) marking and asserting rights in technical data, software, and other intellectual property
 (h) nondiscrimination and affirmative action compliance (e.g., Equal Employment Opportunity reports, Affirmative Action Plans)
 (i) Anti-Kickback Act compliance
 (j) Drug Free Workplace compliance
 (k) avoiding or mitigating Organizational Conflicts of Interest (“OCIs”)
 (l) Procurement Integrity Act compliance
 (m) hiring of former government employees
 (n) safeguarding sensitive information and reporting data breaches (including compliance with FAR 52.204-21 and DFARS 252.204-7012 and any similar provisions)
 (o) maintaining and tracking government property
 (p) subcontracting
 (q) applicable country of origin requirements","Provide all ethics, compliance, and anti-corruption policies, including code of conduct, whistleblower programs, antitrust compliance materials, and any government contracting compliance procedures.",Legal,Stephanie Chin,Brandon K,,P1 — Standard,1. Not Started,,,"(Confidential) 4. Integra_Main_Legal - Regulatory, Litigation, Compliance & Integrity",,,,,,,Wed Apr 29 2026 17:00:00 GMT-0700 (Pacific Daylight Time),,,
4,Main,4.8,"Legal - Regulatory, Litigation, Compliance & Integrity","Provide copies of all internal and external assessments of compliance programs applicable to the Company, including external/internal risk management and compliance audits, and whistleblower reporting [including reports submitted in past 5 years].","Share copies of all internal and external assessments of compliance programs applicable to the Company, including external/internal risk management and...",Legal,Stephanie Chin,Brandon K,,P1 — Standard,1. Not Started,,,"(Confidential) 4. Integra_Main_Legal - Regulatory, Litigation, Compliance & Integrity",,,,,,,Wed Apr 29 2026 17:00:00 GMT-0700 (Pacific Daylight Time),,,
4,Main,4.9,"Legal - Regulatory, Litigation, Compliance & Integrity","Describe internal compliance training (content, methods, frequency, and audience) and third-party partner and supplier diligence programs.
 (i) Who has the responsibility for compliance at the Company? Please state the individual’s name and title.
 (ii) Do third parties’ requests for reimbursement or payment include reasonable documentation for amounts invoiced, itemization of fees and expenses, and detailed description of performed services and a screen against the lists included in the Consolidated Screening list, available at https://www.trade.gov/consolidated-screening-list?
 (iii) Are the Company’s payments to third parties related to activities carried out on Company’s behalf supported by valid invoices?
 (iv) Are training materials made available to such parties from a central location, which is known to these relevant parties?
 (v) Does the Company maintain a log for the past five years of all trainings, including communications, including information about to whom and by whom the training is given?
 (vi) Are the Company’s compliance policies communicated to its directors, officers, and employees, as well as business partners, including consultants, agents, distributors, and other intermediaries? If so, how and with what frequency? When did the most recent communication occur?","Describe internal compliance training (content, methods, frequency, and audience) and third-party partner and supplier diligence programs",Legal,Stephanie Chin,Brandon K,,P1 — Standard,1. Not Started,,,"(Confidential) 4. Integra_Main_Legal - Regulatory, Litigation, Compliance & Integrity",,,,,,,Wed Apr 29 2026 17:00:00 GMT-0700 (Pacific Daylight Time),,,
4,Main,4.10,"Legal - Regulatory, Litigation, Compliance & Integrity","Describe accounting, internal controls, compliance or risk management issues, and the escalation process for such issues, of the Company and its affiliates rising to the senior management level or identified by the internal audit department in the last five years.","Describe accounting, internal controls, compliance or risk management issues, and the escalation process for such issues, of the Company and its affiliates...",Legal,Anne Pierce,Brandon K,,P0 — High,1. Not Started,,true,"(Confidential) 4. Integra_Main_Legal - Regulatory, Litigation, Compliance & Integrity",,,,,,,Wed Apr 29 2026 17:00:00 GMT-0700 (Pacific Daylight Time),,,
4,Main,4.11,"Legal - Regulatory, Litigation, Compliance & Integrity","Describe any internal disciplinary actions of the Company or its affiliates against, and/or investigations concerning, officers, directors, managers or employees in the last five years.","Describe any internal disciplinary actions of the Company or its affiliates against, and/or investigations concerning, officers, directors, managers or...",Legal,Stephanie Chin,Brandon K,,P0 — High,1. Not Started,,,"(Confidential) 4. Integra_Main_Legal - Regulatory, Litigation, Compliance & Integrity",,,,,,,Wed Apr 29 2026 17:00:00 GMT-0700 (Pacific Daylight Time),,,
4,Main,4.12,"Legal - Regulatory, Litigation, Compliance & Integrity","For export compliance purposes, please itemize all employees, contractors, or interns who are citizens, nationals, or residents of a US comprehensively sanctioned territory (currently Cuba, Iran, North Korea, Syria, Crimea, Luhansk, Donetsk). If you have received export control licenses pursuant to the work of these individuals, please include.","Provide for export compliance purposes, please itemize all employees, contractors, or interns who are citizens, nationals, or residents of a US...",Legal,Lauren Cullen,Brandon K,,P0 — High,1. Not Started,,,"(Confidential) 4. Integra_Main_Legal - Regulatory, Litigation, Compliance & Integrity",,,,,,,Wed Apr 29 2026 17:00:00 GMT-0700 (Pacific Daylight Time),,,
4,Main,4.13,"Legal - Regulatory, Litigation, Compliance & Integrity","Provide an itemized list of all products, technology, or software exported from the US for the past five years, including their export classifications (e.g., ECCN or USML). For tangible product exports, provide a copy of the shipper's export declaration, waybill or bill of lading.","List an itemized list of all products, technology, or software exported from the US for the past five years, including their export classifications (e",Legal,Brandon Kim,Brandon K,,P0 — High,1. Not Started,,,"(Confidential) 4. Integra_Main_Legal - Regulatory, Litigation, Compliance & Integrity",,,,,,,Wed Apr 29 2026 17:00:00 GMT-0700 (Pacific Daylight Time),,,
4,Main,4.14,"Legal - Regulatory, Litigation, Compliance & Integrity","(i) Are any Company officers, directors, major shareholders or investors designated as SDNs (Specially Designated Nationals and Blocked Persons) or otherwise restricted, denied, frozen, or debarred parties under any governmental lists?
 (ii) Does the Company use automated sanctioned and blocked party screening software? If so, itemize the lists included in the screen.
 (iii) Does the Company maintain an ITAR registration or the equivalent in the U.S. or any other country?
 (iv) List the countries or regions in which the Company has registered its products or services for export or import services, including any registrations made on behalf of the Company by third parties.
 (v) Has the Company submitted any blocking or freezing notices to the U.S. or other governmental agency during the past five years? If so, provide copies.
 (vi) How does the Company determine the export classifications of its products and services?
 (vii) Provide a list of all export control classifications and copies of all CCATS and Commodity Jurisdiction requests.
 (viii) Does the Company maintain a detailed list of export and import licenses (general or specific) obtained or used, and any related reports or notifications made during the past five years? If so, provide such details.","List (i) Are any Company officers, directors, major shareholders or investors designated as SDNs (Specially Designated Nationals and Blocked Persons) or ot",Legal,Brandon Kim,Brandon K,,P0 — High,1. Not Started,,,"(Confidential) 4. Integra_Main_Legal - Regulatory, Litigation, Compliance & Integrity",,,,,,,Wed Apr 29 2026 17:00:00 GMT-0700 (Pacific Daylight Time),,,
4,Main,4.15,"Legal - Regulatory, Litigation, Compliance & Integrity",A list of any pending or threatened product warranty claims or product liability claims over the past five years.,List a list of any pending or threatened product warranty claims or product liability claims over the past five years,Legal,Michele Matsubara,Brandon K,,P0 — High,1. Not Started,,,"(Confidential) 4. Integra_Main_Legal - Regulatory, Litigation, Compliance & Integrity",,,,,,,Wed Apr 29 2026 17:00:00 GMT-0700 (Pacific Daylight Time),,,
4,Main,4.16,"Legal - Regulatory, Litigation, Compliance & Integrity","A list and copies of all insurance policies, and any pending claims or disputes thereunder, including estimates regarding potential exposures.","List a list and copies of all insurance policies, and any pending claims or disputes thereunder, including estimates regarding potential exposures",Legal,Brandon Kim,Brandon K,,P1 — Standard,1. Not Started,,,"(Confidential) 4. Integra_Main_Legal - Regulatory, Litigation, Compliance & Integrity",,,,,,,Wed Apr 29 2026 17:00:00 GMT-0700 (Pacific Daylight Time),,,
4,Main,4.17,"Legal - Regulatory, Litigation, Compliance & Integrity","List any directors, officers, employees, or equity holders of the Company who is a government official or governmental or government-controlled entity and describe the nature of their positions.","List any directors, officers, employees, or equity holders of the Company who is a government official or governmental or government-controlled entity...",Legal,Brandon Kim,Brandon K,,P0 — High,1. Not Started,,,"(Confidential) 4. Integra_Main_Legal - Regulatory, Litigation, Compliance & Integrity",,,,,,,Wed Apr 29 2026 17:00:00 GMT-0700 (Pacific Daylight Time),,,
4,Main,4.18,"Legal - Regulatory, Litigation, Compliance & Integrity","Use of Third Parties
 (i) List of all third parties, including agents, attorneys, consultants, dealers, distributors, freight forwarders, lobbyists, resellers, or any other third parties, that the Company retains to act on its behalf and a list of all countries in which these third parties act on behalf of Company.
 (ii) Describe nature and terms of business between the Company and each such third party, including types of goods / services, compensation terms, work done to obtain or retain business or regulatory approvals with governmental entities, and ownership (in whole or in part) or control (in whole or in part) by government officials or governmental entities.
 (iii) Describe and provide copies of any Powers of Attorney granted to any third parties.
 (iv) Describe and provide copies of any Certifications or Statements of Compliance provided to or by Third Parties (separate from contractual agreements, including certifications to the government made in connection with work visa sponsorship or to comply with government contracting requirements). 
 (v) Describe how the Company ensures third-party compliance with prohibitions and restrictions against engaging in activities such as the provision of goods, services or technology that contribute, directly or indirectly, to China, Venezuela, and/or Russia military end uses or end users, which include intelligence and national police activities or agencies, or other prohibited end uses, such as weapons proliferation, terrorism, human rights violations, narcotics trafficking, money laundering, or otherwise provided for under the laws.","List all third parties acting on Intercom's behalf (agents, consultants, distributors, lobbyists, etc.), describe each relationship and compensation, provide any powers of attorney or compliance certifications, and explain how third-party compliance with export controls and sanctions is monitored.",Legal,Michele Matsubara,Brandon K,,P0 — High,1. Not Started,,,"(Confidential) 4. Integra_Main_Legal - Regulatory, Litigation, Compliance & Integrity",,,,,,,Wed Apr 29 2026 17:00:00 GMT-0700 (Pacific Daylight Time),,Accounting : General,See: DD Compound Requests Tab
4,Main,4.19,"Legal - Regulatory, Litigation, Compliance & Integrity","Has the Company or its owners, agents, or employees provided any payments or other compensation (including, without limitation, gifts, travel (local or non-local), or entertainment), whether directly or through intermediaries, to customers or government officials within the past five years? If so, please provide records of all such compensation provided to customers or government officials within the past five years.","Provide has the Company or its owners, agents, or employees provided any payments or other compensation (including, without limitation, gifts, travel...",Accounting : General,Anne Pierce,Brandon K,,P0 — High,1. Not Started,,,"(Confidential) 4. Integra_Main_Legal - Regulatory, Litigation, Compliance & Integrity",,,,,,,Wed Apr 29 2026 17:00:00 GMT-0700 (Pacific Daylight Time),,,
4,Main,4.20,"Legal - Regulatory, Litigation, Compliance & Integrity","Does the Company have a process for approval of gifts, entertainment, travel, and other benefits provided to customers and government officials? If so, please describe.","Describe does the Company have a process for approval of gifts, entertainment, travel, and other benefits provided to customers and government officials?...",Accounting : General,Anne Pierce,Brandon K,,P0 — High,1. Not Started,,,"(Confidential) 4. Integra_Main_Legal - Regulatory, Litigation, Compliance & Integrity",,,,,,,Wed Apr 29 2026 17:00:00 GMT-0700 (Pacific Daylight Time),,,
4,Main,4.21,"Legal - Regulatory, Litigation, Compliance & Integrity","Does the Company have interactions, directly or indirectly, with non-U.S. government entities in connection with any licenses, permits, certifications (e.g., labor licenses, import/export licenses, etc.) that are needed to do business in other countries?","Provide does the Company have interactions, directly or indirectly, with non-U",Accounting : General,Anne Pierce,Brandon K,,P0 — High,1. Not Started,,,"(Confidential) 4. Integra_Main_Legal - Regulatory, Litigation, Compliance & Integrity",,,,,,,Wed Apr 29 2026 17:00:00 GMT-0700 (Pacific Daylight Time),,,
4,Main,4.22,"Legal - Regulatory, Litigation, Compliance & Integrity","Does the Company make non-U.S. charitable or political donations? If yes, describe.",Describe does the Company make non-U,Accounting : General,Anne Pierce,Brandon K,,P0 — High,1. Not Started,,,"(Confidential) 4. Integra_Main_Legal - Regulatory, Litigation, Compliance & Integrity",,,,,,,Wed Apr 29 2026 17:00:00 GMT-0700 (Pacific Daylight Time),,,
4,Main,4.23,"Legal - Regulatory, Litigation, Compliance & Integrity",Does the Company provide its employees or third parties with petty cash/cash advances?,Provide does the Company provide its employees or third parties with petty cash/cash advances?,Accounting : General,Anne Pierce,Brandon K,,P0 — High,1. Not Started,,,"(Confidential) 4. Integra_Main_Legal - Regulatory, Litigation, Compliance & Integrity",,,,,,,Wed Apr 29 2026 17:00:00 GMT-0700 (Pacific Daylight Time),,,
5,Main,5.1,Legal - Privacy & Cybersecurity,"Provide a description of:
 (i) the source and type(s) of personal data (including any sensitive data) processed by the Company, including by each Company product or service (note that “sensitive data” includes, e.g., data relating to biometrics, genetics, race, ethnicity, political opinions, health);
 (ii) the purpose of the processing;
 (iii) how long such data is retained and how it is destroyed;
 (iv) who has access to such data and how access is controlled;
 (v) the third parties with whom such data is shared and the purpose of the sharing; and
 (vi) how the company distinguishes between its role as a controller versus its role as a processor with respect to such data.","Describe what personal data Intercom collects, how it's used, where it's stored, and who has access.",Legal,Stephanie Chin,Brandon K,,P00 — Critical (cross-functional priority),2. In Progress,,,(Confidential) 5. Integra_Main_Legal - Privacy & Cybersecurity,,,,,,,Wed Apr 29 2026 17:00:00 GMT-0700 (Pacific Daylight Time),,Engineering : Security Team,See: DD Compound Requests Tab
5,Main,5.2,Legal - Privacy & Cybersecurity,"Provide (i) copies of all agreements with customers, affiliates, service providers, or other third parties relating to the processing or transfer (including cross-border transfer) of data; and (ii) a list of all affiliated or third-party entities that collect or otherwise process data on behalf of the Company.","List (i) copies of all agreements with customers, affiliates, service providers, or other third parties relating to the processing or transfer...",Legal,Brandon Kim,Brandon K,,P0 — High,1. Not Started,,,(Confidential) 5. Integra_Main_Legal - Privacy & Cybersecurity,,,,,,,Wed Apr 29 2026 17:00:00 GMT-0700 (Pacific Daylight Time),,,
5,Main,5.3,Legal - Privacy & Cybersecurity,"Provide copies of all current and historical:
 (i) Privacy notices or policies;
 (ii) Privacy impact assessments;
 (iii) Data inventories, data maps and registers of processing activities;(iv) Policies for compliance with regulated industry frameworks (e.g., HIPAA, FCRA, GLBA, COPPA, FERPA);
 (v) Policies for compliance with laws regarding the recording/monitoring or transmission of communications by any means (e.g., email, text, phone), including a description of how the Company obtains consent for any such recording/monitoring or communications;
 (vi) Incident response, business continuity, and disaster recovery plans;
 (vii) Cybersecurity insurance policies;
 (viii) Vendor security questionnaires/audit procedures;
 (ix) Cross-border transfer mechanism certifications or documentation;
 (x) Registrations and approvals from any data protection authorities or regulators; and
 (xi) Data retention schedules.",Share copies of all current and historical:,Legal,Stephanie Chin,Brandon K,,P0 — High,2. In Progress,,,(Confidential) 5. Integra_Main_Legal - Privacy & Cybersecurity,,,,,,,Wed Apr 29 2026 17:00:00 GMT-0700 (Pacific Daylight Time),,,
5,Main,5.4,Legal - Privacy & Cybersecurity,"Provide copies of all current and historical data subject request intake and response procedures, including with respect to personal data used to train the Intelligent Products or otherwise used by the Company’s products.
  
 Indicate whether the Company’s products provide customers with controls to respond to such requests and, if so, describe the controls.
  
 Is there any impact on operations when the Company or its customer responds to such requests (e.g., would deletion affect product effectiveness )?","Share copies of all current and historical data subject request intake and response procedures, including with respect to personal data used to train...",Legal,Stephanie Chin,Brandon K,,P0 — High,2. In Progress,,,(Confidential) 5. Integra_Main_Legal - Privacy & Cybersecurity,,,,,,,Wed Apr 29 2026 17:00:00 GMT-0700 (Pacific Daylight Time),,,
5,Main,5.5,Legal - Privacy & Cybersecurity,"Copies of the following certifications/audit results/attestations or similar:
 (i) PCI DSS
 (ii) ISO 27001
 (iii) SSAE 16/SOC
 (iv) External pen test/vulnerability scan results
 (v) Data security policies and procedures
  
 If the above are not available, please describe the measures the Company takes to protect data and its products and IT systems from unauthorized access, including to detect such access.",Share copies of the following certifications/audit results/attestations or similar:,Legal,Brandon Kim,Brandon K,,P0 — High,1. Not Started,,,(Confidential) 5. Integra_Main_Legal - Privacy & Cybersecurity,,,,,,,Wed Apr 29 2026 17:00:00 GMT-0700 (Pacific Daylight Time),,,
5,Main,5.6,Legal - Privacy & Cybersecurity,"With what contractual and/or regulatory data security standards is the Company required to comply (e.g., NIST SP 800-171, NIST SP 800-53, DoD SRG, DISA STIG)?
  
 What audit or other steps does the Company take to ensure such compliance?",Provide with what contractual and/or regulatory data security standards is the Company required to comply (e,Legal,Brandon Kim,Brandon K,,P0 — High,1. Not Started,,,(Confidential) 5. Integra_Main_Legal - Privacy & Cybersecurity,,,,,,,Wed Apr 29 2026 17:00:00 GMT-0700 (Pacific Daylight Time),,,
